id,name,summary,organizer,start_date,url,is_online_event
349769639407,Networking Evening: PAPSS - Leveraging business across African borders,An evening to network and meet with other professionals who operate within Ghana and Nigeria.,33423319881,2022-07-30,https://www.eventbrite.co.uk/e/networking-evening-papss-leveraging-business-across-african-borders-tickets-349769639407,false
137863713077,Summer Break in Ghana with The YAA Village,This is your unique opportunity to tour Ghana with @MsPeppy2U...life coach  humanitarian  & creative director  while giving back,17102985679,2022-07-22,https://www.eventbrite.com/e/summer-break-in-ghana-with-the-yaa-village-tickets-137863713077,false
337378336687,IPG 2022 - SLIVER JUBILEE,The International Prophetic Gathering is aimed at bringing together all Christians globally to feed on God’s Word  receive Divine Direction,46804936053,2022-07-31,https://www.eventbrite.com/e/ipg-2022-sliver-jubilee-tickets-337378336687,false
354495053247,My Career  My Future,My Career  My Future is an event aimed at introducing our countries youths to a vast number of career opportunities they may not be aware of,32540080181,2022-08-06,https://www.eventbrite.co.uk/e/my-career-my-future-tickets-354495053247,false
251009083927,Summer Time in Ghana | 5 Nights,Let's spend a Summer Week in Ghana. You can choose which days works for you (Only $300  to RSVP Your Spot) - $1 500 Total.,29761698705,2022-08-20,https://www.eventbrite.com/e/summer-time-in-ghana-5-nights-tickets-251009083927,false
251650131317,Summer Time in Ghana | 5 Nights,Let's spend a Summer Week in Ghana. You can choose which days works for you (Only $300  to RSVP Your Spot) - $1 500 Total.,13831163126,2022-08-20,https://www.eventbrite.com/e/summer-time-in-ghana-5-nights-tickets-251650131317,false
377502328627,PAINT IN THE GARDEN,Make your Sundays exciting  relaxing an rejuvenating at the park with family and friends as we learn t paint flowers and plants.,49527793563,2022-07-24,https://www.eventbrite.com/e/paint-in-the-garden-tickets-377502328627,false
382651810867,3rd Annual HempTech Conference,The third installment of the HempTech Conference features 3 day of conference sessions that are described below.,26401333663,2022-07-27,https://www.eventbrite.com/e/3rd-annual-hemptech-conference-tickets-382651810867,false
387057317857,Study Business Courses  in Europe,Looking for a top-ranked  European Business School? Come speak with the team from EU Business School and learn about opportunities in Europe,17187174907,2022-07-25,https://www.eventbrite.com/e/study-business-courses-in-europe-tickets-387057317857,false
379615880317,90's R&B Music Night,After work chilled vibes,17482188648,2022-07-22,https://www.eventbrite.com/e/90s-rb-music-night-tickets-379615880317,false
377396361677,Design Thinking Ghana Conference 2022,Designing Experiences in Web 3.0 environments: a Design Thinking perspective,33488462711,2022-07-22,https://www.eventbrite.com/e/design-thinking-ghana-conference-2022-tickets-377396361677,false
375505285417,Pop Up Kitchen: Pizza Guy,Join the Pizza Guy for a pop up experience - pair your favourite pizza's with wine,17482188648,2022-07-30,https://www.eventbrite.com/e/pop-up-kitchen-pizza-guy-tickets-375505285417,false
383169900487,PNI Inaugural Service,Pleroma Network International is an Apostolic ministry with the mandate of "Replicating the Fullness of the Godhead in Christ on Earth.,50034435403,2022-07-29,https://www.eventbrite.com/e/pni-inaugural-service-tickets-383169900487,false
378449381287,Accra City Tour,Indulge in the cultural experience of Accra.,48623910363,2022-07-22,https://www.eventbrite.com/e/accra-city-tour-tickets-378449381287,false
